ym,count
2020-01-01,16
2020-02-01,14
2020-03-01,18
2020-04-01,10
2020-05-01,12
2020-06-01,15
2020-07-01,7
2020-08-01,17
2020-09-01,7
2020-10-01,10
2020-11-01,11
2020-12-01,12
2021-01-01,12
2021-02-01,11
2021-03-01,11
2021-04-01,16
2021-05-01,17
2021-06-01,10
2021-07-01,17
2021-08-01,16
2021-09-01,14
2021-10-01,24
2021-11-01,19
2021-12-01,18
2022-01-01,16
2022-02-01,17
2022-03-01,18
2022-04-01,16
2022-05-01,18
2022-06-01,20
2022-07-01,21
2022-08-01,16
2022-09-01,11
2022-10-01,12
2022-11-01,9
2022-12-01,14
2023-01-01,40
2023-02-01,43
2023-03-01,36
2023-04-01,39
2023-05-01,47
2023-06-01,52
2023-07-01,37
2023-08-01,35
2023-09-01,34
2023-10-01,41
2023-11-01,36
2023-12-01,38
